Avg.Latency,Avg.Packetloss,misc_fact1,misc_fact2,misc_fact3,misc_fact4,misc_fact5,sw_fact1,sw_fact2,sw_fact3,sw_fact4,Domain Regn. date,Domain Existance date,Orgn.Regn.date,Avg.Throughput,hw_fact1,hw_fact2,hw_fact3,Sum_Desc
137,2.69101397091685,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2000-03-28,2000-06-04,1998-05-13,71.0690924561543,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
667,2.13045954561546,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2004-01-05,2005-11-07,2002-08-21,101.879162486772,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
680,0.160443916842945,Compatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,1998-12-03,1999-12-25,1998-11-13,109.295138698231,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
131,0.368566140704119,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2016-11-26,2017-05-26,2015-12-30,32.2271790059199,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
652,0.026444704669219,Compatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,1999-10-22,2001-01-19,1998-01-03,64.0794143893015,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
742,0.101565314308601,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2006-05-04,2007-11-21,2006-04-27,133.155573477176,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
165,2.54433661067966,Compatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2001-03-08,2003-01-18,2000-12-29,68.3607604573104,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
725,2.30179921026868,InCompatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2004-03-20,2005-10-28,2002-05-03,145.716475316789,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
408,0.616347611526251,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2002-07-21,2002-07-25,2001-05-13,31.4596991294747,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
354,0.959399977485284,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2004-04-22,2004-06-22,2002-08-09,76.5968215403027,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
766,2.42752152326183,Compatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2005-09-11,2006-08-20,2003-10-29,92.720458620414,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
116,0.983479527430092,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2007-01-06,2007-08-09,2005-07-07,14.6380435727843,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
90,1.49382945491253,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2014-08-02,2015-01-05,2013-07-14,63.7189805315997,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,NoAnomaly
712,2.40566467024699,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2012-02-27,2013-07-29,2011-09-26,88.7518736754612,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
799,0.208991572712907,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2017-10-27,2019-08-16,2016-10-22,63.8878086574503,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
620,0.735477510254461,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2002-03-25,2003-06-18,2002-03-20,30.1420524413361,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,NoAnomaly
727,0.056648695632838,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2010-03-06,2010-03-08,2008-04-30,159.767846076022,Hardwarecompatiability,GoodRouter,ManyDevices,AnomMostLikely
521,2.28779425225251,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2004-12-08,2005-04-02,2004-08-13,100.861131795474,HardwareIncompatiability,GoodRouter,ReasonableDevices,NoAnomaly
46,2.44823823203166,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2003-01-22,2004-03-22,2001-03-29,147.163873013119,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
470,0.904413459924965,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2011-12-01,2012-03-10,2010-06-17,141.161946641085,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
761,2.15126386535875,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2004-11-11,2005-02-14,2003-08-10,110.458424944961,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
392,2.26582717848215,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,1999-08-11,2000-11-01,1998-04-08,77.8122431221387,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
338,0.14209866480153,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2007-08-25,2008-09-09,2006-11-22,158.312504200217,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
624,1.21416339933995,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2008-10-19,2008-11-30,2007-02-22,70.2176517427192,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
125,0.783046037351991,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2003-07-06,2004-03-27,2003-03-11,84.6101287453618,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
579,2.14618531099399,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2003-08-01,2005-03-18,2001-09-04,116.711169832772,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
307,0.016160342472604,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2004-04-21,2005-06-26,2004-02-17,55.81129344831,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
608,2.66934190385003,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2019-11-13,2021-08-23,2017-12-26,114.270022075033,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
502,2.94127054819873,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2013-06-04,2014-01-28,2011-10-27,76.0678876923199,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
275,2.70965406066543,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2016-02-29,2016-03-15,2015-02-12,47.6678400777247,Hardwarecompatiability,OutdatedRouter,ManyDevices,NoAnomaly
687,0.455812166496354,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2015-12-29,2016-05-02,2014-04-09,113.136597815885,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
100,0.158059346704226,Compatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2006-04-26,2008-01-01,2005-08-23,150.269949371372,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
270,1.83620701668222,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,1999-08-27,2000-09-22,1998-06-19,73.9999998617203,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
88,1.17181180873774,InCompatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2013-08-23,2013-12-22,2012-11-13,32.084264056125,Hardwarecompatiability,GoodRouter,ReasonableDevices,AnomLikely
706,0.103070253395581,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2010-10-19,2011-01-27,2009-12-26,129.156511457313,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
481,1.89358540107667,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2009-04-20,2010-01-05,2008-10-24,66.551989601007,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
101,0.924566403191813,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2005-03-23,2005-05-10,2004-09-04,164.025401265347,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
286,0.052503293334567,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,1998-04-14,1999-10-08,1998-03-13,43.9801191730198,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
705,1.41744615821792,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2009-12-10,2011-03-01,2008-06-13,95.2209616660349,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
418,0.150432071013718,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2001-03-19,2002-01-13,2000-08-17,108.445625055827,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
53,2.84981466532128,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2013-01-16,2014-05-28,2012-12-22,90.1520032831145,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
184,1.1782069874352,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2001-09-28,2002-01-12,2000-02-06,115.588604273162,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
199,1.52460365441664,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2009-05-26,2010-10-14,2009-01-20,32.3080927480951,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
125,0.099675329896047,InCompatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2003-12-10,2005-06-06,2002-04-24,124.045060358869,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomMostLikely
607,1.91926699633049,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2004-11-28,2006-06-13,2003-06-11,128.803976785657,HardwareIncompatiability,GoodRouter,ManyDevices,AnomMostLikely
269,2.16385930094758,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2001-11-15,2002-04-07,2001-07-11,62.8336456534675,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
555,2.00840328178763,Compatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2000-01-04,2000-05-25,1999-01-06,108.2852033171,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
128,0.092195414531846,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2011-10-26,2012-01-16,2011-09-25,33.4915540088882,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
288,0.010018732917895,InCompatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ProperFirewalls,2007-07-11,2008-11-02,2007-01-02,114.498292419876,HardwareIncompatiability,GoodRouter,ReasonableDevices,NoAnomaly
785,0.22203882577771,Compatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2010-11-13,2012-09-18,2009-03-06,165.341533857277,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
770,1.39877177118714,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2012-04-13,2013-10-22,2011-05-26,95.3217811267083,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
112,0.894285464265513,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2014-01-05,2014-10-18,2012-11-10,93.977294045686,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
590,1.60378939497886,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2004-02-08,2005-02-23,2002-09-17,142.83825437007,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
44,2.29247805934198,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2002-10-15,2002-10-26,2001-08-16,29.9549120649459,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
193,1.45411735071285,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2019-02-03,2020-09-08,2017-05-14,86.1383228793808,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
575,2.1275283098603,InCompatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2018-12-10,2019-07-27,2017-01-21,62.5530650560212,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
477,0.71739451802566,InCompatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2005-11-14,2007-02-23,2005-07-29,49.6426662871185,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
70,0.924400083276014,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2006-09-23,2008-04-07,2006-01-01,52.0924348545416,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomLikely
739,0.154804679077605,Compatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2012-02-18,2013-04-25,2010-05-20,15.9757655647545,Hardwarecompatiability,GoodRouter,ManyDevices,AnomMostLikely
150,0.285574383736627,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2010-01-06,2011-09-10,2009-11-14,46.4700148222465,Hardwarecompatiability,OutdatedRouter,ManyDevices,AnomLikely
194,0.650405041946828,Compatiable,AuthorizedAccess,OverSubscription,GoodDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,DefinedFileLimits,ImProperFirewalls,2016-09-01,2018-01-21,2014-10-17,22.6117606894095,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
671,2.51905160714143,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2007-07-28,2008-01-04,2006-10-07,133.144520178172,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
132,1.80666125041126,Compatiable,UnAuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2017-01-17,2017-06-21,2016-05-15,40.5094978857721,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
157,1.98530304171183,InCompatiable,AuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2014-09-29,2014-10-26,2013-03-31,60.9772295520676,HardwareIncompatiability,GoodRouter,ManyDevices,AnomLikely
504,1.86834890916837,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,CommonProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2006-09-19,2007-05-07,2005-09-04,105.348480627551,HardwareIncompatiability,GoodRouter,ReasonableDevices,AnomLikely
256,2.85163030706148,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,NotProneToHackers,OwnProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2003-06-12,2005-03-07,2001-11-08,67.1736911228615,HardwareIncompatiability,OutdatedRouter,ManyDevices,AnomMostLikely
186,0.837064015827179,InCompatiable,AuthorizedAccess,OverSubscription,GoodDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2001-07-31,2003-05-06,2000-12-16,13.5873430948635,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
372,0.739856491335009,InCompatiable,AuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ProperFirewalls,2014-01-01,2014-08-28,2012-05-30,101.435589381196,Hardwarecompatiability,GoodRouter,ManyDevices,AnomLikely
330,1.00728599251654,Compatiable,AuthorizedAccess,ReasonableSubscription,GoodDesign,ProneToHackers,CommonProtocol,IneffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,1999-09-10,2000-11-23,1998-12-03,168.702190116308,Hardwarecompatiability,OutdatedRouter,ReasonableDevices,AnomLikely
97,1.66845563306901,InCompatiable,UnAuthorizedAccess,ReasonableSubscription,PoorDesign,NotProneToHackers,OwnProtocol,EffectiveProtocol,UnDefinedFileLimits,ImProperFirewalls,2010-09-27,2010-12-12,2009-10-06,54.2102144856314,HardwareIncompatiability,OutdatedRouter,ReasonableDevices,AnomMostLikely
548,2.2666816945364,InCompatiable,UnAuthorizedAccess,OverSubscription,PoorDesign,ProneToHackers,OwnProtocol,IneffectiveProtocol,DefinedFileLimits,ProperFirewalls,2011-03-27,2012-09-28,2010-03-16,143.572810285016,HardwareIncompatiability,GoodRouter,ManyDevices,AnomMostLikely
